tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svIn,w_svTot,w_1stWon,w_2ndWon,w_SvGms,w_bpIn,w_bpTot,l_ace,l_df,l_svIn,l_svTot,l_1stWon,l_2ndWon,l_SvGms,l_bpIn,l_bpTot,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-1536,Madrid,Clay,32,A,,66,gabriel-diallo,,LL,Gabriel Diallo,R,0,CAN,0.0,zizou-bergs,,,Zizou Bergs,R,0,BEL,0.0,6-1  6-2 .,3,R128,57,3,0,25,38,14,5,7,0,4,4,0,21,37,18,14,8,0,0,0,0,0,0
2025-403,Miami,Hard,32,A,,66,yunchaokete-bu,,,Yunchaokete Bu,R,0,CHN,0.0,cameron-norrie,,,Cameron Norrie,R,0,GBR,0.0,6-4  6-2 .,3,R128,79,8,0,31,53,25,13,9,0,0,4,3,39,62,26,9,9,7,10,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,66,stefanos-tsitsipas,6,,Stefanos Tsitsipas,R,0,GRE,0.0,nuno-borges,,,Nuno Borges,R,0,POR,0.0,6-1  6-1 .,3,R16,67,0,2,29,46,12,6,7,1,7,3,2,32,56,23,11,7,5,6,0,0,0,0
2025-416,Rome,Clay,32,A,,66,jesper-de jong,,LL,Jesper de Jong,R,0,NED,0.0,alexander-shevchenko,,Q,Alexander Shevchenko,R,0,KAZ,0.0,6-2  6-4 .,3,R128,86,5,2,33,54,29,11,9,3,3,2,3,32,65,19,16,9,4,7,0,0,0,0
2025-421,Toronto,Hard,32,A,,66,lorenzo-sonego,28,,Lorenzo Sonego,R,0,ITA,0.0,yunchaokete-bu,,,Yunchaokete Bu,R,0,CHN,0.0,6-1  6-4 .,3,R64,79,1,3,21,42,14,8,8,0,4,7,5,28,53,22,15,9,1,2,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,66,alexander-blockx,,Q,Alexander Blockx,R,0,BEL,0.0,marcos-giron,,,Marcos Giron,R,0,USA,0.0,6-2  3-6  6-3 .,3,R128,111,1,1,43,82,29,21,13,4,7,8,2,47,72,37,15,13,0,1,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,65,joao-fonseca,,WC,Joao Fonseca,R,0,BRA,0.0,jacob-fearnley,,,Jacob Fearnley,R,0,GBR,0.0,6-2  1-6  6-3 .,3,R128,120,3,3,49,90,27,23,12,3,7,3,2,49,84,34,17,12,6,9,0,0,0,0
2025-1536,Madrid,Clay,32,A,,65,damir-dzumhur,,,Damir Dzumhur,R,0,BIH,0.0,mattia-bellucci,,,Mattia Bellucci,R,0,ITA,0.0,4-6  6-4  6-2 .,3,R128,154,0,2,67,92,42,16,14,9,11,4,2,59,95,37,17,14,7,11,0,0,0,0
2025-403,Miami,Hard,32,A,,65,luciano-darderi,,,Luciano Darderi,R,0,ITA,0.0,pedro-martinez,,,Pedro Martinez,R,0,ESP,0.0,6-4  6-1 .,3,R128,63,1,3,22,41,14,11,8,2,5,6,1,31,43,30,6,9,0,0,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,65,arthur-fils,12,,Arthur Fils,R,0,FRA,0.0,andrey-rublev,7,,Andrey Rublev,R,0,RUS,0.0,6-2  6-3 .,3,R16,61,2,3,32,53,19,6,9,4,9,4,2,26,42,21,9,8,0,1,0,0,0,0
2025-416,Rome,Clay,32,A,,65,jacob-fearnley,,,Jacob Fearnley,R,0,GBR,0.0,fabio-fognini,,WC,Fabio Fognini,R,0,ITA,0.0,6-2  6-3 .,3,R128,80,1,5,29,53,20,12,9,2,4,1,1,27,55,14,12,8,3,8,0,0,0,0
2025-421,Toronto,Hard,32,A,,65,aleksandar-vukic,,,Aleksandar Vukic,R,0,AUS,0.0,cameron-norrie,31,,Cameron Norrie,R,0,GBR,0.0,6-3 6-7(2) 6-3 .,3,R64,127,13,0,48,87,39,29,16,3,3,14,3,55,94,46,18,14,9,11,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,65,tristan-boyer,,WC,Tristan Boyer,R,0,USA,0.0,brandon-holt,,WC,Brandon Holt,R,0,USA,0.0,6-3  7-6(3).,3,R128,110,8,0,48,70,37,11,11,3,4,5,1,50,80,32,16,10,7,9,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,64,hugo-gaston,,Q,Hugo Gaston,R,0,FRA,0.0,luciano-darderi,,,Luciano Darderi,R,0,ITA,0.0,6-3  6-3 .,3,R128,82,2,0,36,57,22,8,9,2,6,5,1,28,60,25,13,9,4,5,0,0,0,0
2025-1536,Madrid,Clay,32,A,,64,tomas martin-etcheverry,,,Tomas Martin Etcheverry,R,0,ARG,0.0,hamad-medjedovic,,,Hamad Medjedovic,R,0,SRB,0.0,6-4  7-6(6).,3,R128,196,8,1,63,97,46,14,11,7,9,8,0,47,84,30,21,11,8,11,0,0,0,0
2025-403,Miami,Hard,32,A,,64,alejandro-davidovich fokina,,,Alejandro Davidovich Fokina,R,0,ESP,0.0,jan-lennard-struff,,,Jan-Lennard Struff,R,0,GER,0.0,7-6(3) 6-3 .,3,R128,90,12,3,35,66,29,13,11,2,4,4,0,49,71,37,14,10,7,7,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,64,alex-de minaur,8,,Alex de Minaur,R,0,AUS,0.0,daniil-medvedev,9,,Daniil Medvedev,R,0,RUS,0.0,6-2  6-2 .,3,R16,72,3,3,29,52,13,6,8,5,12,3,3,24,46,14,12,8,1,4,0,0,0,0
2025-416,Rome,Clay,32,A,,64,matteo-gigante,,WC,Matteo Gigante,R,0,ITA,0.0,arthur-rinderknech,,,Arthur Rinderknech,R,0,FRA,0.0,7-6(4) 7-6(4).,3,R128,133,8,2,50,84,37,16,12,1,2,5,6,63,106,45,21,12,7,8,0,0,0,0
2025-421,Toronto,Hard,32,A,,64,alexander-zverev,1,,Alexander Zverev,R,0,GER,0.0,adam-walton,,,Adam Walton,R,0,AUS,0.0,7-6(6) 6-4 .,3,R64,102,7,1,40,61,37,11,11,2,3,5,6,48,81,36,16,11,4,6,0,0,0,0
2025-418,Washington,Clay,32,A,,64,alejandro-davidovich fokina,12,,Alejandro Davidovich Fokina,R,0,ESP,0.0,ben-shelton,4,,Ben Shelton,R,0,USA,0.0,6-2  7-5 .,3,SF,79,1,1,37,52,29,9,10,0,1,7,5,30,55,20,12,10,2,6,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,64,jenson-brooksby,,WC,Jenson Brooksby,R,0,USA,0.0,alexandre-muller,,,Alexandre Muller,R,0,FRA,0.0,7-6(2) 5-7  6-1 .,3,R128,159,7,3,63,111,44,27,16,8,11,7,9,57,95,39,18,15,5,9,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,63,matteo-gigante,,Q,Matteo Gigante,R,0,ITA,0.0,sebastian-baez,,,Sebastian Baez,R,0,ARG,0.0,3-6  6-1  6-4 .,3,R128,117,3,6,46,76,28,16,13,3,7,0,3,56,89,32,13,13,7,13,0,0,0,0
2025-1536,Madrid,Clay,32,A,,63,jacob-fearnley,,Q,Jacob Fearnley,R,0,GBR,0.0,yunchaokete-bu,,,Yunchaokete Bu,R,0,CHN,0.0,6-3  7-6(2).,3,R128,105,4,1,46,75,30,13,11,4,7,6,3,35,60,29,15,10,2,3,0,0,0,0
2025-403,Miami,Hard,32,A,,63,gabriel-diallo,,LL,Gabriel Diallo,R,0,CAN,0.0,tomas martin-etcheverry,,,Tomas Martin Etcheverry,R,0,ARG,0.0,6-3  6-0 .,3,R128,74,6,1,35,49,27,5,8,3,4,0,1,20,42,9,9,7,3,8,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,63,lorenzo-musetti,13,,Lorenzo Musetti,R,0,ITA,0.0,matteo-berrettini,,,Matteo Berrettini,R,0,ITA,0.0,6-3  6-3 .,3,R16,94,3,2,46,68,31,7,9,7,10,0,1,37,50,27,10,9,0,0,0,0,0,0
2025-416,Rome,Clay,32,A,,63,marcos-giron,,,Marcos Giron,R,0,USA,0.0,gabriel-diallo,,,Gabriel Diallo,R,0,CAN,0.0,3-6  6-3  6-4 .,3,R128,119,4,1,55,79,38,16,14,1,3,2,1,49,85,31,27,14,2,3,0,0,0,0
2025-421,Toronto,Hard,32,A,,63,lorenzo-musetti,3,,Lorenzo Musetti,R,0,ITA,0.0,james-duckworth,,Q,James Duckworth,R,0,AUS,0.0,7-5  6-1 .,3,R64,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-418,Washington,Clay,32,A,,63,alex-de minaur,7,,Alex de Minaur,R,0,AUS,0.0,corentin-moutet,,LL,Corentin Moutet,R,0,FRA,0.0,6-4  6-3 .,3,SF,104,0,3,36,66,17,14,10,2,7,0,2,34,58,24,12,9,3,5,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,63,francisco-comesana,,,Francisco Comesana,R,0,ARG,0.0,jaume-munar,,,Jaume Munar,R,0,ESP,0.0,6-4  6-4 .,3,R128,105,6,2,36,68,29,15,10,9,10,2,0,38,56,25,10,10,2,5,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,62,david-goffin,,,David Goffin,R,0,BEL,0.0,lorenzo-sonego,,,Lorenzo Sonego,R,0,ITA,0.0,6-4  7-5 .,3,R128,102,2,1,27,60,16,15,11,0,5,1,2,43,68,22,7,11,4,11,0,0,0,0
2025-1536,Madrid,Clay,32,A,,62,joao-fonseca,,,Joao Fonseca,R,0,BRA,0.0,elmer-moller,,Q,Elmer Moller,R,0,DEN,0.0,6-2  6-3 .,3,R128,73,5,1,37,53,27,8,8,0,0,0,2,41,63,23,10,9,9,13,0,0,0,0
2025-403,Miami,Hard,32,A,,62,jacob-fearnley,,Q,Jacob Fearnley,R,0,GBR,0.0,benjamin-bonzi,,,Benjamin Bonzi,R,0,FRA,0.0,7-6(6) 2-6  6-4 .,3,R128,139,6,1,64,98,49,17,15,1,3,13,4,65,100,47,16,15,4,7,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,62,grigor-dimitrov,15,,Grigor Dimitrov,R,0,BUL,0.0,alejandro-tabilo,,,Alejandro Tabilo,R,0,CHI,0.0,6-3  3-6  6-2 .,3,R16,116,0,5,68,106,37,18,13,11,16,7,1,47,68,36,11,13,2,5,0,0,0,0
2025-416,Rome,Clay,32,A,,62,nicolas-jarry,,,Nicolas Jarry,R,0,CHI,0.0,hugo-gaston,,,Hugo Gaston,R,0,FRA,0.0,7-6(4) 6-4 .,3,R128,111,1,3,53,80,38,14,11,7,8,4,1,51,70,40,12,11,2,2,0,0,0,0
2025-421,Toronto,Hard,32,A,,62,holger-rune,5,,Holger Rune,R,0,DEN,0.0,giovanni-mpetshi perricard,,,Giovanni Mpetshi Perricard,R,0,FRA,0.0,7-6(7) 6-3 .,3,R64,76,7,4,37,58,32,12,10,2,3,12,2,38,59,33,18,11,0,0,0,0,0,0
2025-418,Washington,Clay,32,A,,62,alejandro-davidovich fokina,12,,Alejandro Davidovich Fokina,R,0,ESP,0.0,taylor-fritz,1,,Taylor Fritz,R,0,USA,0.0,7-6(3) 3-6  7-5 .,3,QF,184,20,6,71,120,53,17,16,10,15,8,8,88,131,57,20,17,11,17,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,62,damir-dzumhur,,,Damir Dzumhur,R,0,BIH,0.0,mattia-bellucci,,,Mattia Bellucci,R,0,ITA,0.0,7-6(7) 7-6(5).,3,R128,143,5,6,66,100,44,13,12,4,7,1,4,69,102,48,15,12,8,11,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,61,quentin-halys,,,Quentin Halys,R,0,FRA,0.0,pablo-carreno busta,,Q,Pablo Carreno Busta,R,0,ESP,0.0,6-3  6-4 .,3,R128,90,9,3,39,59,33,7,10,5,7,2,1,39,60,22,11,9,4,8,0,0,0,0
2025-1536,Madrid,Clay,32,A,,61,marcos-giron,,,Marcos Giron,R,0,USA,0.0,learner-tien,,,Learner Tien,R,0,USA,0.0,6-1  1-6  7-6(4).,3,R128,127,5,3,47,96,33,27,13,4,7,6,4,61,104,43,20,13,5,8,0,0,0,0
2025-403,Miami,Hard,32,A,,61,joao-fonseca,,,Joao Fonseca,R,0,BRA,0.0,learner-tien,,,Learner Tien,R,0,USA,0.0,6-7(1) 6-3  6-4 .,3,R128,143,10,3,63,99,45,23,16,3,4,10,3,67,108,47,22,15,9,12,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,61,carlos-alcaraz,2,,Carlos Alcaraz,R,0,ESP,0.0,francisco-cerundolo,,,Francisco Cerundolo,R,0,ARG,0.0,3-6  6-0  6-1 .,3,R32,98,2,5,33,55,17,9,11,2,8,1,3,41,76,28,19,11,5,7,0,0,0,0
2025-416,Rome,Clay,32,A,,61,fabian-marozsan,,,Fabian Marozsan,R,0,HUN,0.0,joao-fonseca,,,Joao Fonseca,R,0,BRA,0.0,6-3  7-6(4).,3,R128,87,3,1,40,67,30,19,11,3,4,4,4,37,68,23,18,10,1,3,0,0,0,0
2025-421,Toronto,Hard,32,A,,61,casper-ruud,8,,Casper Ruud,R,0,NOR,0.0,roman-safiullin,,,Roman Safiullin,R,0,RUS,0.0,6-3  6-3 .,3,R64,81,6,3,31,49,19,8,9,1,5,7,2,41,61,30,9,9,2,3,0,0,0,0
2025-418,Washington,Clay,32,A,,61,ben-shelton,4,,Ben Shelton,R,0,USA,0.0,frances-tiafoe,6,,Frances Tiafoe,R,0,USA,0.0,7-6(2) 6-4 .,3,QF,117,9,1,31,57,28,17,11,0,1,8,3,48,89,36,19,11,8,10,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,61,martin-landaluce,,Q,Martin Landaluce,R,0,ESP,0.0,patrick-kypson,,Q,Patrick Kypson,R,0,USA,0.0,3-6  6-3  6-2 .,3,R128,140,8,5,47,82,39,18,13,4,6,10,5,56,90,39,14,13,5,9,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,60,rinky-hijikata,,,Rinky Hijikata,R,0,AUS,0.0,alexander-shevchenko,,,Alexander Shevchenko,R,0,KAZ,0.0,6-1  6-3 .,3,R128,64,0,5,35,53,16,7,8,3,9,1,1,35,48,22,6,8,2,4,0,0,0,0
2025-1536,Madrid,Clay,32,A,,60,tallon-griekspoor,,,Tallon Griekspoor,R,0,NED,0.0,vit-kopriva,,Q,Vit Kopriva,R,0,CZE,0.0,6-1  6-4 .,3,R128,72,5,3,35,48,32,5,9,0,0,3,2,31,56,20,11,8,6,9,0,0,0,0
2025-403,Miami,Hard,32,A,,60,hugo-gaston,,LL,Hugo Gaston,R,0,FRA,0.0,yoshihito-nishioka,,,Yoshihito Nishioka,R,0,JPN,0.0,6-4 3-1 RET.,3,R128,61,2,2,22,45,14,15,7,1,2,1,3,27,47,18,8,7,2,5,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,60,alejandro-tabilo,,,Alejandro Tabilo,R,0,CHI,0.0,novak-djokovic,3,,Novak Djokovic,R,0,SRB,0.0,6-3  6-4 .,3,R32,87,3,2,30,56,20,11,9,5,8,2,2,37,59,30,11,10,2,3,0,0,0,0
2025-416,Rome,Clay,32,A,,60,pedro-martinez,,,Pedro Martinez,R,0,ESP,0.0,mattia-bellucci,,,Mattia Bellucci,R,0,ITA,0.0,6-4  6-2 .,3,R128,92,4,5,35,63,24,10,9,3,7,2,0,40,54,28,9,9,4,5,0,0,0,0
2025-421,Toronto,Hard,32,A,,60,daniil-medvedev,10,,Daniil Medvedev,R,0,RUS,0.0,dalibor-svrcina,,LL,Dalibor Svrcina,R,0,CZE,0.0,7-6(3) 6-4 .,3,R64,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-418,Washington,Clay,32,A,,60,alex-de minaur,7,,Alex de Minaur,R,0,AUS,0.0,brandon-nakashima,14,,Brandon Nakashima,R,0,USA,0.0,6-4  6-4 .,3,QF,95,6,2,39,66,26,16,10,3,5,4,3,28,56,19,9,10,2,6,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,60,hamad-medjedovic,,,Hamad Medjedovic,R,0,SRB,0.0,aleksandar-kovacevic,,,Aleksandar Kovacevic,R,0,USA,0.0,6-2  6-3 .,3,R128,62,15,0,22,35,20,12,8,0,0,4,5,27,54,20,9,9,1,5,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,59,dusan-lajovic,,,Dusan Lajovic,R,0,SRB,0.0,li-tu,,Q,Li Tu,R,0,AUS,0.0,6-2  6-0 .,3,R128,56,2,1,21,46,13,7,7,4,9,1,0,34,45,27,5,7,3,3,0,0,0,0
2025-1536,Madrid,Clay,32,A,,59,nicolas-jarry,,,Nicolas Jarry,R,0,CHI,0.0,daniel-altmaier,,Q,Daniel Altmaier,R,0,GER,0.0,6-3  6-2 .,3,R128,76,5,0,37,52,23,6,8,4,7,4,0,22,47,21,15,9,0,0,0,0,0,0
2025-403,Miami,Hard,32,A,,59,jakub-mensik,,,Jakub Mensik,R,0,CZE,0.0,roberto-bautista agut,,,Roberto Bautista Agut,R,0,ESP,0.0,6-4  3-6  6-1 .,3,R128,113,1,1,53,71,38,7,13,2,5,23,3,57,86,48,9,13,7,8,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,59,casper-ruud,4,,Casper Ruud,R,0,NOR,0.0,roberto-bautista agut,,,Roberto Bautista Agut,R,0,ESP,0.0,6-2  6-1 .,3,R32,68,0,1,31,51,15,9,7,4,8,6,0,29,39,25,7,8,0,0,0,0,0,0
2025-416,Rome,Clay,32,A,,59,jaume-munar,,,Jaume Munar,R,0,ESP,0.0,tomas-barrios vera,,Q,Tomas Barrios Vera,R,0,CHI,0.0,4-6  6-2  7-5 .,3,R128,186,1,1,72,109,44,17,15,15,20,8,3,56,94,41,18,15,6,9,0,0,0,0
2025-421,Toronto,Hard,32,A,,59,karen-khachanov,11,,Karen Khachanov,R,0,RUS,0.0,juan pablo-ficovich,,Q,Juan Pablo Ficovich,R,0,ARG,0.0,6-4  6-2 .,3,R64,87,5,7,43,65,38,5,9,7,8,3,4,30,59,19,11,9,5,9,0,0,0,0
2025-418,Washington,Clay,32,A,,59,corentin-moutet,,LL,Corentin Moutet,R,0,FRA,0.0,daniil-medvedev,8,,Daniil Medvedev,R,0,RUS,0.0,1-6  6-4  6-4 .,3,QF,145,7,10,41,81,31,22,14,4,7,4,3,54,83,33,18,13,6,9,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,59,luca-nardi,,LL,Luca Nardi,R,0,ITA,0.0,thiago agustin-tirante,,Q,Thiago Agustin Tirante,R,0,ARG,0.0,6-4  7-6(5).,3,R128,117,4,6,46,72,32,15,11,2,5,5,8,32,75,23,20,11,6,10,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,58,mackenzie-mcdonald,,WC,Mackenzie McDonald,R,0,USA,0.0,alejandro-davidovich fokina,,,Alejandro Davidovich Fokina,R,0,ESP,0.0,2-6  6-3  6-2 .,3,R128,111,2,1,45,80,24,22,13,5,9,2,4,40,73,20,20,12,3,8,0,0,0,0
2025-1536,Madrid,Clay,32,A,,58,alexandre-muller,,,Alexandre Muller,R,0,FRA,0.0,david-goffin,,,David Goffin,R,0,BEL,0.0,6-3 6-3 1-0 RET.,3,R128,99,1,3,26,50,17,9,9,3,7,2,3,49,73,28,11,10,2,6,0,0,0,0
2025-403,Miami,Hard,32,A,,58,reilly-opelka,PR,,Reilly Opelka,R,0,USA,0.0,christopher-eubanks,,WC,Christopher Eubanks,R,0,USA,0.0,6-3  7-6(4).,3,R128,85,6,0,45,65,37,9,10,3,4,15,5,42,66,39,13,11,1,1,0,0,0,0
2025-416,Rome,Clay,32,A,,58,luca-nardi,,WC,Luca Nardi,R,0,ITA,0.0,flavio-cobolli,,,Flavio Cobolli,R,0,ITA,0.0,6-3  6-4 .,3,R128,88,1,5,27,56,20,19,10,0,1,2,5,31,64,21,16,9,6,9,0,0,0,0
2025-421,Toronto,Hard,32,A,,58,francisco-cerundolo,14,,Francisco Cerundolo,R,0,ARG,0.0,jaume-munar,,,Jaume Munar,R,0,ESP,0.0,7-6(4) 4-6  6-4 .,3,R64,178,2,8,58,105,45,20,16,3,6,5,5,71,118,53,23,16,10,13,0,0,0,0
2025-418,Washington,Clay,32,A,,58,taylor-fritz,1,,Taylor Fritz,R,0,USA,0.0,matteo-arnaldi,,,Matteo Arnaldi,R,0,ITA,0.0,6-3  6-4 .,3,R16,101,10,2,39,61,37,7,10,4,4,7,1,42,76,32,11,9,8,10,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,58,emilio-nava,,Q,Emilio Nava,R,0,USA,0.0,borna-coric,,,Borna Coric,R,0,CRO,0.0,6-3  7-5 .,3,R128,98,5,5,32,72,23,20,10,6,8,10,0,38,54,30,14,11,0,0,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,57,jakub-mensik,,,Jakub Mensik,R,0,CZE,0.0,tomas martin-etcheverry,,,Tomas Martin Etcheverry,R,0,ARG,0.0,6-4  7-6(6).,3,R128,112,4,3,44,63,26,9,11,1,5,9,6,44,79,32,17,11,7,10,0,0,0,0
2025-1536,Madrid,Clay,32,A,,57,kei-nishikori,,,Kei Nishikori,R,0,JPN,0.0,aleksandar-vukic,,,Aleksandar Vukic,R,0,AUS,0.0,6-4  3-6  6-3 .,3,R128,119,10,2,66,101,46,16,14,8,11,4,3,50,81,37,18,14,2,4,0,0,0,0
2025-403,Miami,Hard,32,A,,57,roman-safiullin,,,Roman Safiullin,R,0,RUS,0.0,jenson-brooksby,PR,,Jenson Brooksby,R,0,USA,0.0,6-3  3-6  6-3 .,3,R128,133,12,2,73,102,52,12,14,7,9,6,0,53,78,36,15,13,2,5,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,57,alex-de minaur,8,,Alex de Minaur,R,0,AUS,0.0,tomas-machac,,,Tomas Machac,R,0,CZE,0.0,3-6  6-0  6-3 .,3,R32,108,5,3,47,75,33,10,12,1,5,3,2,42,80,33,20,12,4,5,0,0,0,0
2025-416,Rome,Clay,32,A,,57,mariano-navone,,,Mariano Navone,R,0,ARG,0.0,federico-cina,,WC,Federico Cina,R,0,ITA,0.0,6-3  6-3 .,3,R128,84,2,1,38,60,26,13,9,4,5,0,2,38,51,24,5,9,0,4,0,0,0,0
2025-421,Toronto,Hard,32,A,,57,reilly-opelka,,,Reilly Opelka,R,0,USA,0.0,tomas-machac,16,,Tomas Machac,R,0,CZE,0.0,7-6(5) 6-7(5) 6-3 .,3,R64,140,24,4,66,107,57,23,17,3,4,12,8,54,106,42,33,16,4,6,0,0,0,0
2025-418,Washington,Clay,32,A,,57,ben-shelton,4,,Ben Shelton,R,0,USA,0.0,gabriel-diallo,15,,Gabriel Diallo,R,0,CAN,0.0,6-3  6-2 .,3,R16,61,16,2,30,42,28,8,9,0,0,5,4,28,44,20,6,8,1,4,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,57,reilly-opelka,,,Reilly Opelka,R,0,USA,0.0,hugo-dellien,,,Hugo Dellien,R,0,BOL,0.0,7-5  7-6(3).,3,R128,100,2,3,52,74,38,12,12,2,3,15,2,35,72,27,29,12,5,5,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,56,gael-monfils,,,Gael Monfils,R,0,FRA,0.0,jan-lennard-struff,,,Jan-Lennard Struff,R,0,GER,0.0,6-4  6-4 .,3,R128,84,4,1,36,68,29,12,10,4,7,7,4,35,62,29,14,10,5,6,0,0,0,0
2025-1536,Madrid,Clay,32,A,,56,cameron-norrie,,,Cameron Norrie,R,0,GBR,0.0,martin-landaluce,,WC,Martin Landaluce,R,0,ESP,0.0,6-7(4) 7-5  6-4 .,3,R128,161,12,15,73,109,50,14,17,5,10,7,4,79,114,52,19,17,7,10,0,0,0,0
2025-403,Miami,Hard,32,A,,56,lorenzo-sonego,,,Lorenzo Sonego,R,0,ITA,0.0,mariano-navone,,,Mariano Navone,R,0,ARG,0.0,7-5  7-5 .,3,R128,131,2,5,38,71,33,18,12,3,4,1,3,38,78,27,21,12,4,7,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,56,daniil-medvedev,9,,Daniil Medvedev,R,0,RUS,0.0,alexandre-muller,,,Alexandre Muller,R,0,FRA,0.0,7-6(6) 5-7  6-2 .,3,R32,168,7,8,58,103,42,19,16,2,6,1,4,69,122,42,26,16,5,10,0,0,0,0
2025-416,Rome,Clay,32,A,,56,sebastian-ofner,,Q,Sebastian Ofner,R,0,AUT,0.0,roberto-carballes baena,,,Roberto Carballes Baena,R,0,ESP,0.0,6-3 0-0 RET.,3,R128,50,0,2,19,41,11,11,4,4,5,3,2,12,25,11,9,5,0,0,0,0,0,0
2025-421,Toronto,Hard,32,A,,56,alexei-popyrin,18,,Alexei Popyrin,R,0,AUS,0.0,nicolas-arseneault,,WC,Nicolas Arseneault,R,0,CAN,0.0,7-6(7) 6-3 .,3,R64,94,9,4,40,67,33,14,10,2,3,9,3,41,72,35,20,11,1,1,0,0,0,0
2025-418,Washington,Clay,32,A,,56,frances-tiafoe,6,,Frances Tiafoe,R,0,USA,0.0,flavio-cobolli,9,,Flavio Cobolli,R,0,ITA,0.0,6-1  6-4 .,3,R16,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-422,Cincinnati,Hard,32,A,,56,ethan-quinn,,,Ethan Quinn,R,0,USA,0.0,miomir-kecmanovic,,,Miomir Kecmanovic,R,0,SRB,0.0,7-6(5) 6-4 .,3,R128,98,3,3,42,75,27,19,11,1,4,7,5,33,65,30,15,11,3,5,0,0,0,0
2025-404,Indian Wells,Hard,32,A,,55,mariano-navone,,,Mariano Navone,R,0,ARG,0.0,learner-tien,,,Learner Tien,R,0,USA,0.0,7-5  6-4 .,3,R128,115,4,1,42,64,31,12,11,1,2,1,7,49,87,30,20,11,4,7,0,0,0,0
2025-1536,Madrid,Clay,32,A,,55,reilly-opelka,PR,,Reilly Opelka,R,0,USA,0.0,rinky-hijikata,,LL,Rinky Hijikata,R,0,AUS,0.0,7-5  7-5 .,3,R128,125,8,2,49,80,39,17,12,1,1,2,2,53,88,35,18,12,9,11,0,0,0,0
2025-403,Miami,Hard,32,A,,55,jordan-thompson,,,Jordan Thompson,R,0,AUS,0.0,marcos-giron,,,Marcos Giron,R,0,USA,0.0,3-6  6-4  7-5 .,3,R128,136,12,2,58,95,42,22,16,5,7,10,4,65,106,48,20,15,9,11,0,0,0,0
2025-410,Monte Carlo,Clay,32,A,,55,arthur-fils,12,,Arthur Fils,R,0,FRA,0.0,flavio-cobolli,,,Flavio Cobolli,R,0,ITA,0.0,6-2  6-4 .,3,R32,70,0,2,28,54,15,15,9,5,8,1,1,32,53,24,14,9,2,2,0,0,0,0
2025-416,Rome,Clay,32,A,,55,thiago-seyboth wild,,Q,Thiago Seyboth Wild,R,0,BRA,0.0,nuno-borges,,,Nuno Borges,R,0,POR,0.0,6-1  4-6  6-4 .,3,R128,143,6,5,57,88,38,13,14,6,10,9,3,55,99,36,26,13,5,6,0,0,0,0
2025-421,Toronto,Hard,32,A,,55,learner-tien,,,Learner Tien,R,0,USA,0.0,denis-shapovalov,22,,Denis Shapovalov,R,0,CAN,0.0,7-6(4) 7-5 .,3,R64,94,5,8,52,75,35,10,12,4,8,2,4,42,72,32,15,12,1,4,0,0,0,0
2025-418,Washington,Clay,32,A,,55,alex-de minaur,7,,Alex de Minaur,R,0,AUS,0.0,jiri-lehecka,11,,Jiri Lehecka,R,0,CZE,0.0,7-6(4) 6-7(6) 6-4 .,3,R16,165,8,4,48,98,41,30,17,3,5,9,5,67,121,48,26,17,6,9,0,0,0,0
